livestockType,productionType,productionSystem,numberOfAnimals,cycleDuration,location,housingType,vaccinationProgram,vetServiceFrequency,medicationIntensity,feedPrice,laborCost,electricityCost,totalCostEstimation
poultry,layer,battery cage,171,58,South-East,standard,standard,monthly,high,46954,22445,9733,211586
cattle,beef,semi-intensive,132,29,North-West,premium,intensive,weekly,medium,46673,88372,22645,270363
cattle,beef,semi-intensive,338,24,North-West,basic,intensive,quarterly,medium,22324,16786,20888,251322
poultry,layer,deep litter,446,77,North-Central,standard,intensive,weekly,high,37051,77147,14451,388700
cattle,beef,extensive,130,23,North-Central,premium,intensive,quarterly,medium,20341,54814,12693,173189
cattle,dairy,semi-intensive,487,18,South-West,premium,intensive,monthly,medium,21128,61592,12365,359713
cattle,dairy,extensive,261,35,South-West,premium,standard,monthly,low,30128,31962,16969,239687
poultry,layer,battery cage,107,34,North-West,basic,standard,monthly,low,18606,23527,18707,132946
cattle,dairy,intensive,208,17,South-East,standard,intensive,monthly,high,17410,22445,21368,182633
poultry,broiler,intensive,200,20,South-East,basic,standard,quarterly,high,30020,54821,6349,221210
poultry,broiler,deep litter,59,53,South-West,standard,minimal,monthly,high,22376,82971,27666,184889
poultry,broiler,deep litter,323,33,South-East,basic,minimal,quarterly,medium,47295,76749,18024,350863
cattle,beef,extensive,100,20,North-Central,basic,minimal,weekly,low,18390,37507,26996,151283
poultry,broiler,battery cage,213,8,South-East,basic,standard,quarterly,low,33113,13662,12933,199321
cattle,beef,semi-intensive,436,15,South-East,standard,minimal,weekly,high,30006,29715,17118,324845
poultry,layer,intensive,99,36,North-West,standard,standard,weekly,low,28799,14198,29197,150493
poultry,broiler,deep litter,215,65,North-Central,standard,intensive,quarterly,low,17884,38851,25569,207688
cattle,beef,semi-intensive,220,13,North-West,basic,standard,quarterly,medium,40013,47389,13469,250884
poultry,broiler,deep litter,306,47,North-West,basic,intensive,quarterly,medium,39566,83758,13352,329242
poultry,layer,intensive,63,8,South-East,basic,standard,quarterly,low,48789,99937,27321,256336
poultry,layer,intensive,266,38,South-West,standard,intensive,monthly,low,19325,50783,18300,240733
poultry,broiler,intensive,122,53,South-West,premium,minimal,quarterly,medium,44985,30949,26010,207929
cattle,dairy,intensive,303,36,North-West,standard,intensive,monthly,high,45680,22216,8759,273835
cattle,dairy,intensive,221,32,South-West,standard,intensive,quarterly,high,16605,74590,15824,234124
cattle,beef,intensive,298,25,South-East,premium,standard,quarterly,medium,48225,66216,10472,322138
poultry,layer,deep litter,473,30,South-West,basic,intensive,quarterly,medium,47951,38118,18743,389263
cattle,dairy,intensive,292,32,North-West,basic,intensive,monthly,low,17954,47776,9890,239574
cattle,beef,extensive,232,30,South-East,standard,standard,monthly,high,49738,60019,26658,302153
poultry,layer,intensive,357,58,South-West,standard,standard,quarterly,medium,35315,53399,5352,307881
cattle,beef,extensive,211,34,North-Central,basic,standard,monthly,medium,30183,52933,18581,237380
cattle,beef,extensive,178,19,South-East,standard,standard,weekly,high,40000,79466,25675,274141
poultry,broiler,intensive,374,55,South-East,premium,intensive,monthly,medium,24767,21155,20066,277755
poultry,layer,intensive,248,66,North-West,basic,minimal,quarterly,high,45887,30955,27228,273957
cattle,dairy,intensive,56,27,South-West,standard,standard,weekly,low,48931,17872,25703,169437
poultry,layer,deep litter,297,77,South-West,premium,minimal,monthly,medium,17645,93894,5941,283625
poultry,layer,deep litter,14,77,North-Central,premium,standard,quarterly,high,20134,17389,18053,82710
poultry,layer,intensive,32,37,South-West,premium,intensive,weekly,high,36885,76700,15149,181619
cattle,dairy,semi-intensive,91,24,South-East,premium,intensive,quarterly,medium,21857,19467,7993,116674
poultry,broiler,intensive,312,45,South-West,basic,minimal,weekly,high,34647,33733,17121,276148
poultry,broiler,battery cage,344,73,North-Central,premium,intensive,quarterly,low,46491,53442,14702,333126
cattle,dairy,semi-intensive,171,16,North-Central,premium,intensive,weekly,high,35139,78991,7173,241942
poultry,layer,battery cage,313,71,South-West,standard,minimal,weekly,medium,25749,77697,13944,299639
poultry,layer,battery cage,317,46,North-Central,premium,intensive,monthly,low,16577,24727,29469,245850
poultry,layer,deep litter,425,21,North-Central,basic,intensive,quarterly,low,29558,19542,5374,296532
poultry,layer,intensive,487,71,North-Central,premium,standard,quarterly,high,37436,16651,18102,353125
cattle,dairy,intensive,431,12,South-West,premium,standard,weekly,high,29539,80159,10656,365393
cattle,beef,semi-intensive,168,23,South-West,premium,standard,monthly,low,16370,13542,22237,152519
cattle,beef,semi-intensive,222,19,South-East,premium,intensive,monthly,high,47509,30854,28513,265385
cattle,dairy,semi-intensive,130,12,South-West,premium,standard,monthly,medium,31362,65359,25371,218454
cattle,dairy,extensive,291,22,North-West,premium,standard,monthly,medium,15277,54114,29033,259201
cattle,beef,semi-intensive,83,29,North-Central,standard,standard,quarterly,low,45666,81715,14938,229485
poultry,broiler,battery cage,437,29,South-East,standard,standard,quarterly,high,21882,24346,22257,308867
cattle,dairy,extensive,180,32,South-West,premium,minimal,monthly,high,33485,71877,20975,249822
cattle,dairy,semi-intensive,497,28,North-Central,premium,minimal,weekly,low,26343,54244,27901,383331
cattle,dairy,extensive,99,30,North-Central,premium,minimal,monthly,high,23071,36940,7823,140405
cattle,beef,extensive,291,32,North-West,standard,standard,weekly,medium,16050,49130,6348,233078
poultry,layer,deep litter,481,55,North-West,premium,standard,weekly,high,38618,61139,5882,384757
cattle,dairy,intensive,227,16,North-West,standard,minimal,weekly,medium,37082,24192,22699,234555
cattle,dairy,intensive,403,26,South-West,standard,minimal,monthly,high,22454,76610,12472,335490
poultry,layer,intensive,297,73,North-West,standard,minimal,weekly,low,42109,50314,16876,299908
poultry,layer,deep litter,368,22,South-West,basic,intensive,weekly,medium,15770,38104,23311,276955
poultry,broiler,intensive,57,31,South-East,standard,minimal,quarterly,low,34126,25707,6277,128736
cattle,beef,intensive,135,36,North-Central,standard,intensive,weekly,medium,22560,37768,27956,178344
cattle,dairy,intensive,430,33,South-West,standard,intensive,quarterly,low,18821,62447,28675,343764
poultry,broiler,intensive,224,18,North-Central,premium,minimal,weekly,low,27852,60147,25569,253420
poultry,broiler,battery cage,378,8,South-East,premium,intensive,quarterly,high,32901,53457,24684,332943
poultry,layer,battery cage,341,37,North-Central,standard,intensive,quarterly,medium,22446,14887,23456,253735
poultry,broiler,battery cage,81,19,North-West,premium,intensive,quarterly,high,46323,72367,28880,234393
cattle,dairy,semi-intensive,332,14,North-Central,basic,intensive,quarterly,medium,32683,65814,13266,310446
cattle,dairy,semi-intensive,28,29,South-West,basic,standard,monthly,high,27732,34881,22648,126993
poultry,layer,intensive,30,49,South-East,basic,standard,quarterly,medium,16977,13373,28025,90352
cattle,beef,semi-intensive,431,26,South-East,standard,minimal,quarterly,high,26242,67515,22515,358014
poultry,layer,intensive,197,25,North-West,basic,intensive,quarterly,high,49838,90613,10593,299382
poultry,broiler,battery cage,208,52,South-West,basic,minimal,monthly,low,45285,26588,10380,231538
cattle,beef,semi-intensive,438,15,South-East,standard,minimal,monthly,high,26775,95295,6231,374076
poultry,layer,deep litter,211,39,North-West,basic,intensive,quarterly,low,25310,36249,27597,219966
cattle,beef,intensive,282,25,North-West,basic,intensive,weekly,medium,17007,29869,8250,213133
cattle,beef,extensive,302,15,North-Central,premium,minimal,monthly,medium,47305,12383,14641,272634
poultry,layer,deep litter,262,80,North-West,premium,minimal,quarterly,high,27038,71697,20185,276958
poultry,layer,deep litter,295,64,North-Central,standard,standard,weekly,high,23577,57817,23663,276134
cattle,beef,semi-intensive,483,29,North-Central,basic,minimal,weekly,medium,20129,99408,18234,399400
poultry,layer,intensive,11,45,South-East,basic,standard,weekly,low,24918,35695,12887,103918
poultry,broiler,deep litter,407,50,South-West,premium,minimal,monthly,high,23631,44307,25267,320336
cattle,dairy,intensive,451,27,South-West,premium,minimal,quarterly,high,46483,93531,9835,421832
cattle,dairy,intensive,23,22,South-West,standard,standard,monthly,high,40129,30960,5402,128120
poultry,broiler,battery cage,482,39,South-East,standard,standard,weekly,medium,29538,75321,6046,381443
cattle,dairy,extensive,364,15,North-West,premium,standard,monthly,low,41760,87943,8948,362411
poultry,broiler,intensive,73,22,North-Central,basic,minimal,monthly,medium,41984,89141,19863,229472
cattle,dairy,intensive,27,14,North-Central,basic,standard,monthly,medium,34516,64385,15332,162249
cattle,beef,semi-intensive,164,19,North-Central,premium,intensive,weekly,medium,24276,94883,13118,238553
cattle,dairy,semi-intensive,326,19,North-Central,basic,intensive,weekly,high,43192,18251,10645,278280
cattle,dairy,extensive,59,31,South-West,basic,standard,monthly,medium,47758,20276,19950,165242
cattle,dairy,intensive,159,19,South-West,basic,intensive,monthly,high,46338,95627,28911,296714
cattle,beef,intensive,253,28,North-West,premium,minimal,monthly,low,36489,52623,22930,275031
poultry,broiler,deep litter,146,67,South-West,basic,intensive,weekly,medium,20493,18980,26383,159349
poultry,broiler,intensive,391,74,South-West,premium,intensive,weekly,medium,23242,64146,14702,320832
poultry,layer,deep litter,454,10,North-Central,premium,minimal,monthly,medium,17940,33553,19756,316189
cattle,dairy,extensive,145,27,North-West,basic,minimal,quarterly,high,28796,36689,8893,175674
poultry,layer,intensive,380,34,South-East,basic,intensive,weekly,high,38717,51125,18274,336833
poultry,broiler,battery cage,13,54,North-West,premium,intensive,quarterly,high,42782,51316,24342,167722
poultry,broiler,battery cage,167,45,North-West,standard,minimal,monthly,low,37683,56848,15836,231550
poultry,layer,battery cage,227,63,North-Central,standard,standard,quarterly,low,17725,71333,27417,247700
cattle,dairy,semi-intensive,41,29,South-West,premium,intensive,weekly,medium,15175,94762,11084,156696
cattle,beef,semi-intensive,64,27,North-West,basic,standard,monthly,low,36356,68172,20904,193788
cattle,dairy,intensive,309,19,North-West,premium,intensive,weekly,medium,41514,69603,17536,324667
poultry,broiler,deep litter,406,74,South-East,standard,intensive,weekly,medium,46800,74317,29151,400068
poultry,broiler,battery cage,302,54,North-Central,standard,minimal,quarterly,medium,31650,52881,17994,285175
poultry,broiler,intensive,173,34,North-Central,standard,minimal,monthly,high,28255,31575,28583,203168
poultry,broiler,battery cage,376,22,North-West,standard,intensive,weekly,medium,27302,14940,17957,275501
poultry,layer,deep litter,386,51,South-West,premium,standard,monthly,high,25213,65651,15961,325038
poultry,broiler,intensive,387,35,North-West,basic,intensive,weekly,medium,45914,35689,22688,343705
poultry,layer,intensive,87,68,North-Central,premium,minimal,weekly,high,45405,86760,17339,238409
poultry,layer,intensive,483,38,North-Central,standard,standard,weekly,medium,49737,49508,9937,400419
cattle,beef,semi-intensive,162,20,North-West,basic,intensive,quarterly,high,15486,83311,24791,220074
poultry,layer,deep litter,116,38,North-West,basic,standard,quarterly,low,19874,50955,14499,163202
poultry,layer,intensive,319,26,South-East,premium,intensive,weekly,medium,18597,86879,18496,302069
poultry,broiler,battery cage,312,59,South-West,premium,minimal,weekly,low,38669,33682,20998,288018
cattle,beef,semi-intensive,71,32,South-West,standard,standard,monthly,low,34341,53316,9172,166670
poultry,layer,battery cage,226,53,North-Central,premium,minimal,quarterly,low,17408,28745,29136,205697
cattle,dairy,semi-intensive,207,17,South-East,standard,intensive,monthly,medium,21609,55688,9367,211773
poultry,layer,deep litter,51,46,North-West,basic,intensive,quarterly,low,44739,64188,22430,201596
poultry,broiler,intensive,336,73,South-West,standard,standard,weekly,medium,43271,98174,26366,379082
cattle,dairy,semi-intensive,29,15,South-East,premium,minimal,weekly,medium,35889,68563,10448,165289
cattle,dairy,extensive,295,28,South-West,basic,minimal,quarterly,high,29282,64144,10455,280663
poultry,broiler,intensive,171,18,North-West,standard,intensive,quarterly,low,24411,46618,24499,205439
cattle,beef,extensive,52,31,South-East,basic,intensive,weekly,low,15373,16351,21905,95002
cattle,beef,intensive,392,20,North-Central,standard,intensive,quarterly,high,37004,80377,17714,368099
cattle,beef,semi-intensive,79,32,South-East,premium,minimal,quarterly,low,31971,64028,7206,174676
poultry,layer,intensive,353,65,North-West,basic,standard,weekly,low,40125,63914,18210,338874
cattle,beef,intensive,402,24,South-East,premium,standard,monthly,medium,25026,35623,19757,306432
cattle,dairy,intensive,308,14,North-Central,basic,intensive,monthly,low,19149,76038,25087,293423
poultry,broiler,deep litter,450,30,North-Central,standard,intensive,quarterly,high,31472,92782,24301,405027
cattle,dairy,semi-intensive,389,22,South-East,premium,minimal,weekly,high,26578,79980,9862,337498
cattle,dairy,extensive,122,17,South-East,standard,standard,weekly,high,49488,83393,15198,258567
poultry,broiler,deep litter,417,34,North-West,standard,standard,weekly,high,48120,63880,12308,380928
poultry,broiler,battery cage,475,37,North-West,basic,intensive,weekly,medium,38122,16584,28984,359312
cattle,dairy,semi-intensive,365,17,North-Central,basic,intensive,quarterly,high,16205,75144,9524,299578
poultry,broiler,battery cage,336,61,South-East,standard,intensive,quarterly,low,29744,14643,9364,251495
cattle,dairy,intensive,110,35,North-West,premium,intensive,quarterly,medium,23870,41027,25765,169532
cattle,beef,semi-intensive,194,23,South-West,basic,minimal,monthly,medium,23765,62492,13862,220884
poultry,layer,deep litter,147,62,North-Central,premium,minimal,quarterly,low,29693,17517,13022,163425
cattle,beef,intensive,150,22,South-East,premium,standard,monthly,low,16160,47743,11966,167029
poultry,layer,deep litter,493,27,North-Central,premium,minimal,quarterly,high,37389,89782,14152,425212
poultry,layer,intensive,110,29,North-West,basic,minimal,monthly,low,21827,31705,25995,156354
cattle,dairy,intensive,369,14,South-West,standard,standard,weekly,low,37969,85142,24366,369946
poultry,layer,battery cage,475,37,North-Central,basic,standard,weekly,low,17247,57950,23865,353809
cattle,dairy,extensive,498,33,North-Central,basic,standard,quarterly,high,19352,96225,21442,405371
cattle,dairy,semi-intensive,42,27,South-West,standard,standard,quarterly,medium,36221,37526,23196,154164
cattle,dairy,extensive,214,32,South-East,basic,intensive,quarterly,high,27787,17580,20964,201118
poultry,broiler,deep litter,49,50,South-West,standard,intensive,quarterly,medium,48419,67215,19229,207782
poultry,layer,intensive,400,36,South-West,standard,intensive,weekly,low,27907,79091,16961,351866
